name,cate_1,cate_2
소풍등심전문점,한식,갈비/삼겹살
황새골,한식,한식/백반/한정식
가춘,제과제빵떡케익,제과점
BHC치킨,닭/오리요리,후라이드/양념치킨
대나무골,분식,라면김밥분식
빈털털이,분식,라면김밥분식
김밥천국,분식,라면김밥분식
랭스터디카페,커피점/카페,커피전문점/카페/다방
상도보쌈참해물칼국수,한식,족발/보쌈전문
엉터리생고기숭실대점,한식,갈비/삼겹살
봉순네크리스피,유흥주점,호프/맥주
가마로강정,닭/오리요리,후라이드/양념치킨
멘동,유흥주점,빠/카페/스탠드빠
사리원,분식,국수/만두/칼국수
둘둘치킨,닭/오리요리,후라이드/양념치킨
몽블랑베이커리,제과제빵떡케익,제과점
엄마손백반,한식,한식/백반/한정식
싱싱수산,일식/수산물,횟집
함지박치즈등갈비,한식,한식/백반/한정식
스타벅스숭실대점,커피점/카페,커피전문점/카페/다방
터널돼지갈비,한식,갈비/삼겹살
풍년집정육식당,한식,한식/백반/한정식
꼬꾸이치킨,유흥주점,호프/맥주
벨라의케이크,제과제빵떡케익,제과점
풍년집,한식,한식/백반/한정식
맘스터치,한식,한식/백반/한정식
친구,유흥주점,호프/맥주
쉬어가는모퉁이커피한잔,커피점/카페,커피전문점/카페/다방
명동식당,한식,한식/백반/한정식
김밥이야기,분식,라면김밥분식
속초항회속초물회,일식/수산물,횟집
황궁,중식,중국음식/중국집
산들그린에프엔비,한식,한식/백반/한정식
그리다꿈숭실대점,커피점/카페,커피전문점/카페/다방
우부래도,제과제빵떡케익,제과점
위넌스터디카페,커피점/카페,커피전문점/카페/다방
따로닭,한식,한식/백반/한정식
또래오래동작상도점,닭/오리요리,후라이드/양념치킨
문커피,커피점/카페,커피전문점/카페/다방
김달인,한식,한식/백반/한정식
이삭토스트숭실대점,양식,기타전문서양음식점
영미네,분식,국수/만두/칼국수
피탕김탕,중식,중국음식/중국집
보물쌈,한식,족발/보쌈전문
감성스터디카페숭실대입,커피점/카페,커피전문점/카페/다방
쌍띠더황제치킨,닭/오리요리,후라이드/양념치킨
카페라,커피점/카페,커피전문점/카페/다방
돈더구이,한식,갈비/삼겹살
다성반점,중식,중국음식/중국집
IZAKAYA나무,커피점/카페,커피전문점/카페/다방
피자알볼로,패스트푸드,피자전문
이디야커피,커피점/카페,커피전문점/카페/다방
조안찐빵만두상도점,분식,국수/만두/칼국수
나비루,일식/수산물,음식점-일식
스팅,양식,정통양식/경양식
항아리수제비,분식,국수/만두/칼국수
벙커,한식,한식/백반/한정식
고향삼계탕,닭/오리요리,삼계탕전문
비노,유흥주점,호프/맥주
레인보우동작숭실대역점,분식,우동전문점
맘스터치,패스트푸드,패스트푸드
전주콩나물해장국,한식,해장국/감자탕
우리보쌈&밥상,한식,족발/보쌈전문
투썸플레이스숭실대점,커피점/카페,커피전문점/카페/다방
보그너커피상도동점,커피점/카페,커피전문점/카페/다방
구이와찌게,한식,부대찌개/섞어찌개
추억과김밥,분식,라면김밥분식
다밀원봉평막국수숯불닭바베큐,양식,바베큐전문
취향,중식,중국음식/중국집
큐피드,유흥주점,호프/맥주
카페브런스윅,커피점/카페,커피전문점/카페/다방
달쿠마,제과제빵떡케익,제과점
상도커피,커피점/카페,커피전문점/카페/다방
가마로강정숭실대,닭/오리요리,후라이드/양념치킨
익스큐즈미,커피점/카페,커피전문점/카페/다방
탕화쿵푸숭실대직영점,중식,중국음식/중국집
천냥노가리,유흥주점,호프/맥주
초밥이야기,일식/수산물,음식점-초밥전문
겹,한식,한식/백반/한정식
브레댄코,제과제빵떡케익,제과점
호랑이와곶감,유흥주점,호프/맥주
공부하기좋은카페오늘,커피점/카페,커피전문점/카페/다방
브레댄코,커피점/카페,커피전문점/카페/다방
미하벨,제과제빵떡케익,제과점
릿잇커피,커피점/카페,커피전문점/카페/다방
카페,커피점/카페,커피전문점/카페/다방
코웍비스트로,한식,한식/백반/한정식
어반스시&참치,일식/수산물,참치전문점
커피만,한식,한식/백반/한정식
쿠시야끼하루,일식/수산물,음식점-일식
구백냥곱창,한식,곱창/양구이전문
알렉스플레이스,한식,한식/백반/한정식
페스티벌앤쇼랜드,한식,한식/백반/한정식
신전떡볶이,제과제빵떡케익,떡/한과집
유프,커피점/카페,커피전문점/카페/다방
대명브레댄코숭실대입구역점,제과제빵떡케익,제과점
스타벅스숭실대입구역점,커피점/카페,커피전문점/카페/다방
스테이선샤인,커피점/카페,커피전문점/카페/다방
모코커피창고,커피점/카페,커피전문점/카페/다방
쉐프윤찹쌀고로케,한식,한식/백반/한정식
아키라,일식/수산물,음식점-일식
빈,한식,한식/백반/한정식
청운음식점,한식,한식/백반/한정식
전주집순대,별식/퓨전요리,순대전문점
길순분식,분식,라면김밥분식
투앤나인,커피점/카페,커피전문점/카페/다방
펍캐리온,유흥주점,호프/맥주
고돼지,한식,한식/백반/한정식
두찜동작,한식,한식/백반/한정식
Gustoria,양식,정통양식/경양식
도담죽,별식/퓨전요리,죽전문점
커미유,커피점/카페,커피전문점/카페/다방
닭볶음탕과낙곱새,한식,한식/백반/한정식
참베이커리,제과제빵떡케익,제과점
화옌옌,중식,중국음식/중국집
도담도담,제과제빵떡케익,제과점
정정아식당,한식,한식/백반/한정식
오늘밀크티,한식,한식/백반/한정식
케이크팝,한식,한식/백반/한정식
명랑핫도그,패스트푸드,핫도그
바른탕수육,중식,탕수육전문점
투다리,유흥주점,꼬치구이전문점
임종예밥집,한식,한식/백반/한정식
걸작떡볶이,분식,떡볶이전문
프렌밀리,한식,한식/백반/한정식
미니밈케이크,커피점/카페,커피전문점/카페/다방
어블리,한식,한식/백반/한정식
다가미,분식,라면김밥분식
스타동,양식,정통양식/경양식
밤골하우스,분식,라면김밥분식
배달짜글오짜글,한식,한식/백반/한정식
숭실대중문한솥도시락,패스트푸드,도시락전문점
짙은,한식,한식/백반/한정식
웅묘탕포관,중식,중국음식/중국집
"유나,온",제과제빵떡케익,제과점
팜카페,커피점/카페,커피전문점/카페/다방
노가리빠,유흥주점,호프/맥주
달달,한식,한식/백반/한정식
아바디,한식,한식/백반/한정식
로켓샌드위치커피,커피점/카페,커피전문점/카페/다방
덮다,한식,한식/백반/한정식
파스타앤볶음밥,양식,스파게티전문점
브릿지엣지,커피점/카페,커피전문점/카페/다방
코코스중앙식당,유흥주점,호프/맥주
무음,한식,한식/백반/한정식
빨간코포차,유흥주점,소주방/포장마차
에버에버에프터,커피점/카페,커피전문점/카페/다방
상도갈비타운,한식,한식/백반/한정식
크라이치즈버거,한식,한식/백반/한정식
투디,커피점/카페,커피전문점/카페/다방
밥숯돌,한식,한식/백반/한정식
커피나무,커피점/카페,커피전문점/카페/다방
BBQ치킨,닭/오리요리,후라이드/양념치킨
이찬호초밥,일식/수산물,음식점-일식
토프레소상도점,커피점/카페,커피전문점/카페/다방
